Agency,Visibility,Percent,Viz
CDC,less visible pages,-100,0.5
Climate.gov,less visible pages,7.4,0.5
Data.gov,less visible pages,-9,0.5
DOE,less visible pages,-22.22,0.5
EPA,less visible pages,-98.88,0.5
Forest Service,less visible pages,-2.56,0.5
GAO,less visible pages,56.25,0.5
Globalchange.gov,less visible pages,-4.31,0.5
NASA,less visible pages,-74.57,0.5
NIH,less visible pages,19.14,0.5
NOAA,less visible pages,5.08,0.5
NPS,less visible pages,-18.68,0.5
USDA,less visible pages,-2.56,0.5
CDC,more visible pages,-37.5,1
Climate.gov,more visible pages,10.15,1
Data.gov,more visible pages,1.6,1
DOE,more visible pages,-17.9,1
EPA,more visible pages,-17.37,1
Forest Service,more visible pages,-12,1
GAO,more visible pages,21.21,1
Globalchange.gov,more visible pages,-9.14,1
NASA,more visible pages,-13.75,1
NIH,more visible pages,-42.85,1
NOAA,more visible pages,-25.56,1
NPS,more visible pages,-100,1
USDA,more visible pages,-50,1